Car #,Wendy's #,VC #,Site Name,Address,City,ST,Zip,Phone,District Manager,DAO,IT Tech,Maintenance Tech,Phone Provider,Phone Account Number,Phone Cost,Internet Provider,Internet Account Number,Internet Speeds,Internet Cost,HASP
101,2827,303,Greenville,1704 Hwy 82 E,GREENVILLE,MS,38701,662.332.1001,Ternarian Smith,Greg Jones,Mitchel Page,,AT&T Cellular,2872 8407 4750,104.32,DSR,,50.0M x 8.0M,109.56,246478
105,2752,229,S Gloster,368 S GLOSTER,TUPELO,MS,38801,662.842.0434,Peter Garner,Greg Jones,Mitchel Page,,AT&T Cellular,2872 8407 4750,,DSR,,75.0M x 15.0M,106.23,246492
108,2788,258,8th St,3105 8TH STREET,MERIDIAN,MS,39301,601.693.5530,Crystal Jones,Greg Jones,Steven Lee,,AT&T Cellular,2872 8407 4750,27.36,DSR,,75.0M x 15.0M,10,246539
111,2878,259,Hardy St,1701 HARDY STREET,HATTIESBURG,MS,39401,601.582.1121,Kimberly Roberts,Greg Jones,Barry Russell,,AT&T Cellular,2872 8407 4750,,Comcast,,25.0M x 5.0M,106.23,246533
113,4442,392,Westover,900 WESTOVER DR,HATTIESBURG,MS,39402,601.264.8339,Kimberly Roberts,Greg Jones,Barry Russell,,AT&T Cellular,2872 8407 4750,27.36,DSR,,75.0M x 15.0M,10,246534
114,4511,391,West Helena,278 RICHMOND HILL DRIVE,WEST HELENA,AR,72390,870.572.1332,Ternarian Smith,Greg Jones,Mitchel Page,,AT&T Cellular,2872 8407 4750,,DSR,,18.0M x 1.5M,77.05,246479
117,5441,185,Amory,900 Hwy 278 E,AMORY,MS,38821,662.256.5951,Latoya Ware,Greg Jones,Mitchel Page,,AT&T Cellular,2872 8407 4750,27.36,T-Mobile Hub,,Varies,76.7,246486
118,5447,186,Petal,518 E CENTRAL AVE,PETAL,MS,39465,601.584.6737,Kimberly Roberts,Greg Jones,Barry Russell,,Verizon,2872 8407 4750,,DSR,,75.0M x 15.0M,10,246535
121,5482,205,Indianola,1104 Highway 82 E,INDIANOLA,MS,38751,662.887.3979,Ternarian Smith,Greg Jones,Steven Lee,,AT&T Cellular,2872 8407 4750,27.36,DSR,,6.0M x 768k,67.7,246480
122,5582,260,Booneville,906 N 2nd St,BOONEVILLE,MS,38829,662.728.8333,Peter Garner,Greg Jones,Mitchel Page,,AT&T Cellular,2872 8407 4750,27.36,DSR,,6.0M x 768k,67.69,246497
125,7923,408,22nd Ave,642 22ND AVENUE SOUTH,MERIDIAN,MS,39301,601.485.6599,Crystal Jones,Greg Jones,Steven Lee,,AT&T Cellular,2872 8407 4750,27.36,DSR,,25.0M x 5.0M,106.23,246540
126,7935,256,Eddy St,2001 EDDY STREET,HATTIESBURG,MS,39402,601.271.7705,Kimberly Roberts,Greg Jones,Barry Russell,,AT&T Cellular,2872 8407 4750,27.36,DSR,,25.0M x 5.0M,106.23,246536
